Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
career_5978,0.9852,0.848,Core Anchor,Tagged Variant,"Displays as: ""career_5978"""
aspect_5753,0.7934,0.6099,Peripheral,Tagged Variant,"Displays as: ""aspect_5753"""
budget644,0.9224,0.6397,High Influence,Tagged Variant,"Displays as: ""budget644"""
accept14,0.8201,0.8445,High Influence,Tagged Variant,"Displays as: ""accept14"""
always809,0.6174,0.5677,Peripheral,Tagged Variant,"Displays as: ""always809"""
against893,0.8533,0.6102,High Influence,Tagged Variant,"Displays as: ""against893"""
account934,0.9806,0.5633,High Influence,Tagged Variant,"Displays as: ""account934"""
bring810,0.8406,0.5571,High Influence,Tagged Variant,"Displays as: ""bring810"""
box_3643,0.9277,0.6682,High Influence,Tagged Variant,"Displays as: ""box_3643"""
behind_4357,0.9537,0.8662,Core Anchor,Tagged Variant,"Displays as: ""behind_4357"""
behavior_7213,0.6912,0.5532,Peripheral,Tagged Variant,"Displays as: ""behavior_7213"""
attitude835,0.6848,0.667,Peripheral,Tagged Variant,"Displays as: ""attitude835"""
agency458,0.8444,0.7695,High Influence,Tagged Variant,"Displays as: ""agency458"""
blue_5970,0.7644,0.4886,Peripheral,Tagged Variant,"Displays as: ""blue_5970"""
building183,0.9359,0.4943,High Influence,Tagged Variant,"Displays as: ""building183"""
business908,0.96,0.9534,Core Anchor,Tagged Variant,"Displays as: ""business908"""
body308,0.7414,0.8065,High Recall,Tagged Variant,"Displays as: ""body308"""
ask_6952,0.6947,0.704,Peripheral,Tagged Variant,"Displays as: ""ask_6952"""
answer_7490,0.9122,0.7534,High Influence,Tagged Variant,"Displays as: ""answer_7490"""
accept393,0.7099,0.3205,Peripheral,Tagged Variant,"Displays as: ""accept393"""
both_9081,0.929,0.7327,High Influence,Tagged Variant,"Displays as: ""both_9081"""
campaign_8072,0.7695,0.6567,Peripheral,Tagged Variant,"Displays as: ""campaign_8072"""
agent612,0.867,0.682,High Influence,Tagged Variant,"Displays as: ""agent612"""
believe234,0.6382,0.5516,Peripheral,Tagged Variant,"Displays as: ""believe234"""
around_6660,0.8495,0.357,High Influence,Tagged Variant,"Displays as: ""around_6660"""
active_2502,0.7807,0.4353,Peripheral,Tagged Variant,"Displays as: ""active_2502"""
between_1292,0.8346,0.9655,High Influence,Tagged Variant,"Displays as: ""between_1292"""
action134,0.6672,0.5861,Peripheral,Tagged Variant,"Displays as: ""action134"""
access_6141,0.8947,0.6267,High Influence,Tagged Variant,"Displays as: ""access_6141"""
access_6794,0.9451,0.3369,High Influence,Tagged Variant,"Displays as: ""access_6794"""
best_2412,0.6867,0.3263,Peripheral,Tagged Variant,"Displays as: ""best_2412"""
amazing_6263,0.6383,0.802,High Recall,Tagged Variant,"Displays as: ""amazing_6263"""
begin692,0.6095,0.6767,Peripheral,Tagged Variant,"Displays as: ""begin692"""
binary252,0.8568,0.6561,High Influence,Tagged Variant,"Displays as: ""binary252"""
car889,0.8428,0.4702,High Influence,Tagged Variant,"Displays as: ""car889"""
against906,0.8187,0.8213,High Influence,Tagged Variant,"Displays as: ""against906"""
address_3811,0.6928,0.4178,Peripheral,Tagged Variant,"Displays as: ""address_3811"""
can997,0.7564,0.433,Peripheral,Tagged Variant,"Displays as: ""can997"""
address609,0.8378,0.6225,High Influence,Tagged Variant,"Displays as: ""address609"""
case656,0.7987,0.5004,Peripheral,Tagged Variant,"Displays as: ""case656"""
begin_7352,0.9951,0.4732,High Influence,Tagged Variant,"Displays as: ""begin_7352"""
adult_3637,0.6546,0.7517,Peripheral,Tagged Variant,"Displays as: ""adult_3637"""
away_2126,0.8781,0.7557,High Influence,Tagged Variant,"Displays as: ""away_2126"""
agency_8155,0.7617,0.8772,High Recall,Tagged Variant,"Displays as: ""agency_8155"""
boy692,0.7713,0.5924,Peripheral,Tagged Variant,"Displays as: ""boy692"""
block788,0.887,0.3512,High Influence,Tagged Variant,"Displays as: ""block788"""
best_3326,0.877,0.4916,High Influence,Tagged Variant,"Displays as: ""best_3326"""
appear625,0.9965,0.986,Core Anchor,Tagged Variant,"Displays as: ""appear625"""
after_7225,0.6514,0.7174,Peripheral,Tagged Variant,"Displays as: ""after_7225"""
basic116,0.6416,0.7968,Peripheral,Tagged Variant,"Displays as: ""basic116"""
busy_8381,0.8897,0.3052,High Influence,Tagged Variant,"Displays as: ""busy_8381"""
authority362,0.8314,0.6627,High Influence,Tagged Variant,"Displays as: ""authority362"""
away_4363,0.7097,0.3263,Peripheral,Tagged Variant,"Displays as: ""away_4363"""
building633,0.6318,0.6985,Peripheral,Tagged Variant,"Displays as: ""building633"""
area998,0.6343,0.9445,High Recall,Tagged Variant,"Displays as: ""area998"""
car671,0.9577,0.9779,Core Anchor,Tagged Variant,"Displays as: ""car671"""
become_6944,0.6767,0.6784,Peripheral,Tagged Variant,"Displays as: ""become_6944"""
action259,0.7293,0.6207,Peripheral,Tagged Variant,"Displays as: ""action259"""
active_9447,0.6907,0.9615,High Recall,Tagged Variant,"Displays as: ""active_9447"""
against72,0.742,0.7715,Peripheral,Tagged Variant,"Displays as: ""against72"""
again486,0.6278,0.3454,Peripheral,Tagged Variant,"Displays as: ""again486"""
account648,0.8076,0.626,High Influence,Tagged Variant,"Displays as: ""account648"""
camera390,0.627,0.4682,Peripheral,Tagged Variant,"Displays as: ""camera390"""
bad_1905,0.9201,0.6289,High Influence,Tagged Variant,"Displays as: ""bad_1905"""
anything911,0.6935,0.6188,Peripheral,Tagged Variant,"Displays as: ""anything911"""
agent106,0.816,0.7075,High Influence,Tagged Variant,"Displays as: ""agent106"""
begin602,0.952,0.5497,High Influence,Tagged Variant,"Displays as: ""begin602"""
build621,0.8604,0.415,High Influence,Tagged Variant,"Displays as: ""build621"""
across_8626,0.8132,0.6526,High Influence,Tagged Variant,"Displays as: ""across_8626"""
always_9002,0.7297,0.8811,High Recall,Tagged Variant,"Displays as: ""always_9002"""
business202,0.7332,0.7648,Peripheral,Tagged Variant,"Displays as: ""business202"""
beat_3681,0.8678,0.5369,High Influence,Tagged Variant,"Displays as: ""beat_3681"""
avoid_8626,0.9977,0.9549,Core Anchor,Tagged Variant,"Displays as: ""avoid_8626"""
brain_8553,0.8647,0.9385,High Influence,Tagged Variant,"Displays as: ""brain_8553"""
affect_8672,0.8231,0.4465,High Influence,Tagged Variant,"Displays as: ""affect_8672"""
build499,0.8923,0.3276,High Influence,Tagged Variant,"Displays as: ""build499"""
build474,0.7861,0.8189,High Recall,Tagged Variant,"Displays as: ""build474"""
against818,0.6241,0.8793,High Recall,Tagged Variant,"Displays as: ""against818"""
across877,0.8249,0.9775,High Influence,Tagged Variant,"Displays as: ""across877"""
balance_2051,0.9831,0.9229,Core Anchor,Tagged Variant,"Displays as: ""balance_2051"""
capital_1767,0.6701,0.7204,Peripheral,Tagged Variant,"Displays as: ""capital_1767"""
camera_7608,0.876,0.671,High Influence,Tagged Variant,"Displays as: ""camera_7608"""
article_8321,0.6804,0.3195,Peripheral,Tagged Variant,"Displays as: ""article_8321"""
activity_4248,0.8143,0.4727,High Influence,Tagged Variant,"Displays as: ""activity_4248"""
active684,0.6387,0.6217,Peripheral,Tagged Variant,"Displays as: ""active684"""
attention_8249,0.7801,0.74,Peripheral,Tagged Variant,"Displays as: ""attention_8249"""
build179,0.9025,0.6901,High Influence,Tagged Variant,"Displays as: ""build179"""
approach_4059,0.739,0.8198,High Recall,Tagged Variant,"Displays as: ""approach_4059"""
available284,0.866,0.4958,High Influence,Tagged Variant,"Displays as: ""available284"""
available_5502,0.9182,0.6955,High Influence,Tagged Variant,"Displays as: ""available_5502"""
budget879,0.9709,0.3617,High Influence,Tagged Variant,"Displays as: ""budget879"""
blue_8193,0.6939,0.5896,Peripheral,Tagged Variant,"Displays as: ""blue_8193"""
above_2492,0.7597,0.8251,High Recall,Tagged Variant,"Displays as: ""above_2492"""
balance_5705,0.661,0.7854,Peripheral,Tagged Variant,"Displays as: ""balance_5705"""
case253,0.997,0.9934,Core Anchor,Tagged Variant,"Displays as: ""case253"""
add_5338,0.9708,0.4945,High Influence,Tagged Variant,"Displays as: ""add_5338"""
button712,0.816,0.6487,High Influence,Tagged Variant,"Displays as: ""button712"""
cancel_7167,0.9368,0.5307,High Influence,Tagged Variant,"Displays as: ""cancel_7167"""
bit_3657,0.8084,0.6084,High Influence,Tagged Variant,"Displays as: ""bit_3657"""
activity_7698,0.8494,0.8999,High Influence,Tagged Variant,"Displays as: ""activity_7698"""
between_9131,0.6356,0.7789,Peripheral,Tagged Variant,"Displays as: ""between_9131"""
bit_9646,0.9021,0.9177,Core Anchor,Tagged Variant,"Displays as: ""bit_9646"""
campaign803,0.6511,0.4425,Peripheral,Tagged Variant,"Displays as: ""campaign803"""
both529,0.9304,0.9114,Core Anchor,Tagged Variant,"Displays as: ""both529"""
box_2747,0.9128,0.3418,High Influence,Tagged Variant,"Displays as: ""box_2747"""
article525,0.8835,0.922,High Influence,Tagged Variant,"Displays as: ""article525"""
base,0.6145,0.5304,Peripheral,Natural,"Displays as: ""base"""
best_5637,0.7213,0.5202,Peripheral,Tagged Variant,"Displays as: ""best_5637"""
bill692,0.7052,0.6585,Peripheral,Tagged Variant,"Displays as: ""bill692"""
buy95,0.7441,0.9585,High Recall,Tagged Variant,"Displays as: ""buy95"""
can321,0.6351,0.3334,Peripheral,Tagged Variant,"Displays as: ""can321"""
agree429,0.9748,0.5466,High Influence,Tagged Variant,"Displays as: ""agree429"""
art724,0.8215,0.8996,High Influence,Tagged Variant,"Displays as: ""art724"""
admin_9368,0.7222,0.5772,Peripheral,Tagged Variant,"Displays as: ""admin_9368"""
business_2055,0.7588,0.4394,Peripheral,Tagged Variant,"Displays as: ""business_2055"""
access_9666,0.7789,0.5974,Peripheral,Tagged Variant,"Displays as: ""access_9666"""
ahead_2091,0.8402,0.5699,High Influence,Tagged Variant,"Displays as: ""ahead_2091"""
agent_3383,0.8063,0.9408,High Influence,Tagged Variant,"Displays as: ""agent_3383"""
anger_3945,0.9678,0.8334,Core Anchor,Tagged Variant,"Displays as: ""anger_3945"""
bring_1722,0.7988,0.6536,Peripheral,Tagged Variant,"Displays as: ""bring_1722"""
buy_3865,0.9969,0.9919,Core Anchor,Tagged Variant,"Displays as: ""buy_3865"""
above_2873,0.9406,0.6257,High Influence,Tagged Variant,"Displays as: ""above_2873"""
best574,0.6834,0.3408,Peripheral,Tagged Variant,"Displays as: ""best574"""
anger118,0.9722,0.4836,High Influence,Tagged Variant,"Displays as: ""anger118"""
agree_7130,0.6465,0.6052,Peripheral,Tagged Variant,"Displays as: ""agree_7130"""
behind_5579,0.927,0.4098,High Influence,Tagged Variant,"Displays as: ""behind_5579"""
brain_7377,0.7522,0.9633,High Recall,Tagged Variant,"Displays as: ""brain_7377"""
against206,0.9512,0.8368,Core Anchor,Tagged Variant,"Displays as: ""against206"""
anger_7212,0.9472,0.4878,High Influence,Tagged Variant,"Displays as: ""anger_7212"""
area15,0.9224,0.7136,High Influence,Tagged Variant,"Displays as: ""area15"""
adult67,0.916,0.805,Core Anchor,Tagged Variant,"Displays as: ""adult67"""
bit_6582,0.7219,0.9589,High Recall,Tagged Variant,"Displays as: ""bit_6582"""
capital_8976,0.6324,0.9171,High Recall,Tagged Variant,"Displays as: ""capital_8976"""
busy570,0.7612,0.6606,Peripheral,Tagged Variant,"Displays as: ""busy570"""
budget855,0.6694,0.8423,High Recall,Tagged Variant,"Displays as: ""budget855"""
art_6403,0.878,0.6935,High Influence,Tagged Variant,"Displays as: ""art_6403"""
aspect_1302,0.7384,0.6869,Peripheral,Tagged Variant,"Displays as: ""aspect_1302"""
aspect860,0.9902,0.3803,High Influence,Tagged Variant,"Displays as: ""aspect860"""
argue_7665,0.8564,0.3883,High Influence,Tagged Variant,"Displays as: ""argue_7665"""
agent_8437,0.929,0.6707,High Influence,Tagged Variant,"Displays as: ""agent_8437"""
address_4612,0.653,0.4882,Peripheral,Tagged Variant,"Displays as: ""address_4612"""
area_4060,0.9448,0.3147,High Influence,Tagged Variant,"Displays as: ""area_4060"""
beat_8334,0.9691,0.806,Core Anchor,Tagged Variant,"Displays as: ""beat_8334"""
arrive_8215,0.7948,0.3227,Peripheral,Tagged Variant,"Displays as: ""arrive_8215"""
because_3489,0.8425,0.7167,High Influence,Tagged Variant,"Displays as: ""because_3489"""
analysis_4290,0.9059,0.6774,High Influence,Tagged Variant,"Displays as: ""analysis_4290"""
base_9333,0.6699,0.9782,High Recall,Tagged Variant,"Displays as: ""base_9333"""
before307,0.801,0.6389,High Influence,Tagged Variant,"Displays as: ""before307"""
area_3899,0.7595,0.3445,Peripheral,Tagged Variant,"Displays as: ""area_3899"""
buy464,0.6585,0.6862,Peripheral,Tagged Variant,"Displays as: ""buy464"""
attitude383,0.747,0.8888,High Recall,Tagged Variant,"Displays as: ""attitude383"""
break121,0.6273,0.9978,High Recall,Tagged Variant,"Displays as: ""break121"""
author_4191,0.6103,0.6012,Peripheral,Tagged Variant,"Displays as: ""author_4191"""
add371,0.6541,0.5242,Peripheral,Tagged Variant,"Displays as: ""add371"""
although338,0.9852,0.9347,Core Anchor,Tagged Variant,"Displays as: ""although338"""
allow_2162,0.8198,0.4339,High Influence,Tagged Variant,"Displays as: ""allow_2162"""
analysis_4271,0.9863,0.7308,High Influence,Tagged Variant,"Displays as: ""analysis_4271"""
author_4864,0.773,0.584,Peripheral,Tagged Variant,"Displays as: ""author_4864"""
approach176,0.7247,0.3288,Peripheral,Tagged Variant,"Displays as: ""approach176"""
appear17,0.8025,0.5431,High Influence,Tagged Variant,"Displays as: ""appear17"""
capacity_5443,0.7758,0.4857,Peripheral,Tagged Variant,"Displays as: ""capacity_5443"""
best_5979,0.6423,0.7803,Peripheral,Tagged Variant,"Displays as: ""best_5979"""
beauty567,0.8563,0.9642,High Influence,Tagged Variant,"Displays as: ""beauty567"""
bit_7873,0.6864,0.4876,Peripheral,Tagged Variant,"Displays as: ""bit_7873"""
beyond_3144,0.8478,0.868,High Influence,Tagged Variant,"Displays as: ""beyond_3144"""
aware432,0.8601,0.3388,High Influence,Tagged Variant,"Displays as: ""aware432"""
author_6653,0.6608,0.6767,Peripheral,Tagged Variant,"Displays as: ""author_6653"""
big87,0.6245,0.3494,Peripheral,Tagged Variant,"Displays as: ""big87"""
beat760,0.9123,0.9538,Core Anchor,Tagged Variant,"Displays as: ""beat760"""
amount_1953,0.7839,0.8364,High Recall,Tagged Variant,"Displays as: ""amount_1953"""
ability910,0.6233,0.7606,Peripheral,Tagged Variant,"Displays as: ""ability910"""
agency264,0.9979,0.8767,Core Anchor,Tagged Variant,"Displays as: ""agency264"""
analysis_3979,0.6231,0.7533,Peripheral,Tagged Variant,"Displays as: ""analysis_3979"""
amount781,0.878,0.9783,High Influence,Tagged Variant,"Displays as: ""amount781"""
business_6001,0.9935,0.7998,High Influence,Tagged Variant,"Displays as: ""business_6001"""
almost988,0.6957,0.9473,High Recall,Tagged Variant,"Displays as: ""almost988"""
ahead_5300,0.6569,0.662,Peripheral,Tagged Variant,"Displays as: ""ahead_5300"""
both_4129,0.6486,0.3819,Peripheral,Tagged Variant,"Displays as: ""both_4129"""
available315,0.7213,0.6697,Peripheral,Tagged Variant,"Displays as: ""available315"""
amount_3284,0.6404,0.3888,Peripheral,Tagged Variant,"Displays as: ""amount_3284"""
career_3888,0.8769,0.7147,High Influence,Tagged Variant,"Displays as: ""career_3888"""
camera_9137,0.6249,0.6377,Peripheral,Tagged Variant,"Displays as: ""camera_9137"""
break259,0.8038,0.7358,High Influence,Tagged Variant,"Displays as: ""break259"""
candidate892,0.9987,0.307,High Influence,Tagged Variant,"Displays as: ""candidate892"""
available926,0.9256,0.4364,High Influence,Tagged Variant,"Displays as: ""available926"""
action_1402,0.8461,0.6439,High Influence,Tagged Variant,"Displays as: ""action_1402"""
business870,0.7225,0.9654,High Recall,Tagged Variant,"Displays as: ""business870"""
about812,0.8496,0.5685,High Influence,Tagged Variant,"Displays as: ""about812"""
case447,0.8108,0.5971,High Influence,Tagged Variant,"Displays as: ""case447"""
awesome10,0.7704,0.8003,High Recall,Tagged Variant,"Displays as: ""awesome10"""
before12,0.6523,0.7227,Peripheral,Tagged Variant,"Displays as: ""before12"""
behavior_2986,0.9546,0.5092,High Influence,Tagged Variant,"Displays as: ""behavior_2986"""
after_3495,0.7799,0.5876,Peripheral,Tagged Variant,"Displays as: ""after_3495"""
big54,0.6778,0.4524,Peripheral,Tagged Variant,"Displays as: ""big54"""
before_5090,0.7471,0.9762,High Recall,Tagged Variant,"Displays as: ""before_5090"""
border_5343,0.7657,0.3914,Peripheral,Tagged Variant,"Displays as: ""border_5343"""
black_8183,0.931,0.5603,High Influence,Tagged Variant,"Displays as: ""black_8183"""
allow_4207,0.8934,0.3181,High Influence,Tagged Variant,"Displays as: ""allow_4207"""
background550,0.9077,0.4552,High Influence,Tagged Variant,"Displays as: ""background550"""
aware_4363,0.6044,0.8463,High Recall,Tagged Variant,"Displays as: ""aware_4363"""
behind_4530,0.7665,0.4408,Peripheral,Tagged Variant,"Displays as: ""behind_4530"""
actual267,0.7925,0.356,Peripheral,Tagged Variant,"Displays as: ""actual267"""
address_4396,0.6077,0.6321,Peripheral,Tagged Variant,"Displays as: ""address_4396"""
action691,0.7039,0.307,Peripheral,Tagged Variant,"Displays as: ""action691"""
buy869,0.9041,0.3593,High Influence,Tagged Variant,"Displays as: ""buy869"""
art159,0.6548,0.8653,High Recall,Tagged Variant,"Displays as: ""art159"""
account_6189,0.8141,0.84,High Influence,Tagged Variant,"Displays as: ""account_6189"""
attempt_4190,0.6861,0.9406,High Recall,Tagged Variant,"Displays as: ""attempt_4190"""
capital_5237,0.6048,0.8982,High Recall,Tagged Variant,"Displays as: ""capital_5237"""
already985,0.6965,0.7782,Peripheral,Tagged Variant,"Displays as: ""already985"""
about_1453,0.9903,0.3366,High Influence,Tagged Variant,"Displays as: ""about_1453"""
build_5684,0.9206,0.848,Core Anchor,Tagged Variant,"Displays as: ""build_5684"""
brain340,0.9838,0.8919,Core Anchor,Tagged Variant,"Displays as: ""brain340"""
beat_6844,0.7951,0.8594,High Recall,Tagged Variant,"Displays as: ""beat_6844"""
basic97,0.6439,0.6559,Peripheral,Tagged Variant,"Displays as: ""basic97"""
behavior_7990,0.8192,0.463,High Influence,Tagged Variant,"Displays as: ""behavior_7990"""
career_4291,0.7818,0.8917,High Recall,Tagged Variant,"Displays as: ""career_4291"""
about_1570,0.9377,0.809,Core Anchor,Tagged Variant,"Displays as: ""about_1570"""
actual750,0.6392,0.9865,High Recall,Tagged Variant,"Displays as: ""actual750"""
break_5035,0.7953,0.409,Peripheral,Tagged Variant,"Displays as: ""break_5035"""
add934,0.66,0.458,Peripheral,Tagged Variant,"Displays as: ""add934"""
car_9370,0.7299,0.4483,Peripheral,Tagged Variant,"Displays as: ""car_9370"""
camera_1001,0.8949,0.8548,High Influence,Tagged Variant,"Displays as: ""camera_1001"""
